rank,domain,score,majestic_trustflow,majestic_citationflow,trust_ratio_tf_cf,referring_domains,referring_ips,referring_subnets,backlinks,refdomains_live,refdomains_homepage,refdomains_edu,refdomains_gov,wikipedia_live_article_citations,majestic_claimed_wiki_links,dmoz_listed,archive_first_year,archive_captures,other_tlds_registered,majestic_topics,wikipedia_articles
36,synalp.org,235.2,28,13,2.15,21,19,18,44,20,0,1,0,0,0,False,2002,73,6,Computers/Computer Science/People (99.98%),
37,aaapn.org,234.5,32,11,2.91,24,23,22,98,22,0,0,0,0,1,False,1998,250,4,Regional/North America (99.97%),
38,vbti.org,233.4,31,12,2.58,25,19,18,51,25,0,0,0,0,0,False,2001,160,15,Society/Disabled (99.96%)|Shopping/Health (0.01%),
39,murnane.org,232.4,29,8,3.62,24,20,20,161,18,2,0,0,0,1,False,1998,219,13,Society/Law (99.97%),
40,agbubg.org,232.3,30,9,3.33,26,22,22,112,24,1,0,0,0,5,True,2003,148,0,Society/Organizations (97.08%)|Reference/Education (2.91%),
41,unibos.org,231.7,28,11,2.55,21,20,20,357,19,0,0,0,0,2,True,2007,116,14,Sports/Martial Arts (99.99%),
42,lawlists.org,230.5,29,15,1.93,28,26,26,105,27,2,1,0,0,0,False,2001,110,3,Shopping/Food (99.99%),
43,rittmeister.org,228.0,30,9,3.33,27,22,21,31,24,2,0,0,0,1,False,2001,161,6,Society/Religion and Spirituality (99.99%),
44,neovoid.org,227.2,27,12,2.25,36,32,30,98,34,0,0,0,0,3,False,2001,231,6,Arts/Music (99.97%),
45,rkcwaalwijk.org,224.9,25,14,1.79,52,48,42,159,51,30,0,0,0,4,False,2001,213,5,Sports/Soccer (99.99%),
46,oekraine.org,224.3,26,12,2.17,32,27,26,63,31,8,0,0,0,6,False,2000,218,8,Arts/Literature (100.00%),
47,nicolasmartiau.org,224.0,28,11,2.55,25,20,19,29,25,0,0,0,0,3,True,2004,250,1,Society/Genealogy (99.98%)|Society/Organizations (0.01%),
48,cddnig.org,222.7,27,19,1.42,95,81,65,106,95,0,0,0,0,1,False,2001,123,0,Society/Issues (93.25%)|Society/Law (3.08%)|Science/Social Sciences (1.15%),
49,wainwrightfamily.org,221.9,29,5,5.8,21,17,16,67,20,0,0,0,0,2,True,2003,115,3,Society/Genealogy (100.00%),
50,missionpeakreporter.org,221.3,28,18,1.56,231,148,112,3075,182,138,0,0,0,3,False,2013,121,0,Business/Transportation and Logistics (99.79%)|Science/Educational Resources (0.16%),
